test	run1	run2	run3	verdict	cause
DragTouchInAndOutAWindowTest.singleTouch_dragPointIntoTheWindow(TestTouchDevice)[14]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointIntoTheWindow(TestTouchDevice)[15]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointIntoTheWindow(TestTouchDevice)[1]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointIntoTheWindow(TestTouchDevice)[2]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointIntoTheWindow(TestTouchDevice)[3]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointIntoTheWindow(TestTouchDevice)[4]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointIntoTheWindow(TestTouchDevice)[5]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointIntoTheWindow(TestTouchDevice)[6]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointIntoTheWindow(TestTouchDevice)[7]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointIntoTheWindow(TestTouchDevice)[8]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointIntoTheWindow(TestTouchDevice)[9]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointoutsideAwindow(TestTouchDevice)[10]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointoutsideAwindow(TestTouchDevice)[11]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointoutsideAwindow(TestTouchDevice)[12]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointoutsideAwindow(TestTouchDevice)[13]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointoutsideAwindow(TestTouchDevice)[14]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointoutsideAwindow(TestTouchDevice)[15]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointoutsideAwindow(TestTouchDevice)[1]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointoutsideAwindow(TestTouchDevice)[2]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointoutsideAwindow(TestTouchDevice)[3]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointoutsideAwindow(TestTouchDevice)[4]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointoutsideAwindow(TestTouchDevice)[5]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointoutsideAwindow(TestTouchDevice)[6]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointoutsideAwindow(TestTouchDevice)[7]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointoutsideAwindow(TestTouchDevice)[8]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.singleTouch_dragPointoutsideAwindow(TestTouchDevice)[9]	PASS	PASS	PASS	stable-pass	
EPDSettingsTest.testAllFlags	PASS	PASS	PASS	stable-pass	
EPDSettingsTest.testBitsPerPixel	PASS	PASS	PASS	stable-pass	
EPDSettingsTest.testFlagEnableInversion	PASS	PASS	PASS	stable-pass	
EPDSettingsTest.testFlagForceMonochrome	PASS	PASS	PASS	stable-pass	
EPDSettingsTest.testFlagUseDitheringY1	PASS	PASS	PASS	stable-pass	
EPDSettingsTest.testFlagUseDitheringY4	PASS	PASS	PASS	stable-pass	
EPDSettingsTest.testNoWait	PASS	PASS	PASS	stable-pass	
EPDSettingsTest.testRotate	PASS	PASS	PASS	stable-pass	
EPDSettingsTest.testWaveformMode	PASS	PASS	PASS	stable-pass	
EPDSettingsTest.testY8Inverted	PASS	PASS	PASS	stable-pass	
FramebufferTest.testOverflow16	PASS	PASS	PASS	stable-pass	
FramebufferTest.testOverflow32	PASS	PASS	PASS	stable-pass	
FramebufferY8Test.copyTo16	PASS	PASS	PASS	stable-pass	
FramebufferY8Test.copyTo32	PASS	PASS	PASS	stable-pass	
FramebufferY8Test.saveImage	SKIP	SKIP	SKIP	skipped	
FramebufferY8Test.saveImageY8	SKIP	SKIP	SKIP	skipped	
FramebufferY8Test.timeCopyTo16	PASS	PASS	PASS	stable-pass	
FramebufferY8Test.timeWriteTo16	PASS	PASS	PASS	stable-pass	
FramebufferY8Test.writeTo16	PASS	PASS	PASS	stable-pass	
FramebufferY8Test.writeTo32	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1(TestTouchDevice)[10]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1(TestTouchDevice)[11]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1(TestTouchDevice)[12]	ERROR	ERROR	ERROR	persistent	com.sun.glass.ui.monocle.TestLogShim$TestLogAssertion: Timed out after 3000ms waiting for 'Mouse pressed: 640, 400'
FuzzyTapTest.tap1(TestTouchDevice)[13]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1(TestTouchDevice)[14]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1(TestTouchDevice)[15]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1(TestTouchDevice)[1]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1(TestTouchDevice)[2]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1(TestTouchDevice)[3]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1(TestTouchDevice)[4]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1(TestTouchDevice)[5]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1(TestTouchDevice)[6]	PASS	PASS	PASS	stable-pass	
FuzzyTapTest.tap1(TestTouchDevice)[7]	PASS	PASS	PASS	stable-pass	
